customer,realtor,invested,at_maturity,start_date,maturity_date,status
SODIPO SAMSON OLAKUNLE,HAFBAM,50000000,62500000,2026-04-19,2026-07-19,active
FASHINA KHADIJAT ABIOSE,HAFBAM,100000000,125000000,2026-04-21,2026-07-21,active
MISS DAODU MODUPE OLUWABUNMI,MADAM ALICE,5000000,6092500,2026-04-22,2026-07-22,active
MISS ELABOR REJOICE EHIZOMO,DUNNI,1000000,1095000,2026-04-23,2026-07-23,active
FEHINTOLA JULIUS OLATOYE,MADAM ALICE,20000000,28000000,2026-04-24,2026-07-24,active
AGBONTALOR ELIZABETH ODEGUA,ZIKAN,17000000,24140000,2026-04-26,2026-07-26,active
MRS ATUNNISE ARINOLA,ARINOLA,20000000,24000000,2026-04-27,2026-07-27,active
MR IBRAHIM ADENIRAN,QUEEN,5400000,6629159,2026-01-20,2026-07-19,active
MISS PRECIOUS ADEGOKE,HAFBAM,10100000,12432913,2025-07-23,2026-07-23,active
MRS KUDIRAT OLUWOLE,ZIKAN,58900000,73544996,2026-03-29,2026-07-27,active
MRS AMARACHI OKAFOR,DUNNI,8200000,10086299,2026-05-01,2026-07-30,active
MR OLADIMEJI CHUKWU,HAFBAM GLOBAL LTD,10500000,14199680,2025-11-06,2026-08-03,active
DR HALIMA ADESANYA,HAFBAM,26000000,31552641,2026-02-08,2026-08-07,active
OLUMIDE ADEBAMBO,MADAM ALICE,33000000,44672988,2026-05-13,2026-08-11,active
DR IBRAHIM LAWAL,ARINOLA,74300000,87943647,2026-05-16,2026-08-14,active
MR EKENE ONYEKA,HAFBAM,60600000,79283927,2026-02-19,2026-08-18,active
OLUWASEUN OLUWOLE,QUEEN,3000000,4024505,2026-04-21,2026-08-19,active
YETUNDE OLUWOLE,HAFBAM,15000000,22264529,2026-04-23,2026-08-21,active
DR YETUNDE MADUEKE,HAFBAM,9500000,14301503,2026-04-25,2026-08-23,active
MR KELECHI OGUNDIPE,HAFBAM GLOBAL LTD,157632500,218581418,2026-02-27,2026-08-26,active
BLESSING UZOMA,ZIKAN,7000000,9934555,2026-04-30,2026-08-28,active
FOLASADE IBEKWE,PRING CITY REALTORS AND ESTATE LIMITED,1600000,2245167,2025-12-03,2026-08-30,active
MR EKENE OBIAGELI,QUEEN OLIJE REALTY,7800000,10044650,2026-05-04,2026-09-01,active
DR OLUMIDE OYELARAN,ZIKAN,60100000,72698701,2026-03-08,2026-09-04,active
MR OLADIMEJI UZOMA,MADAM ALICE,5500000,6943987,2026-05-09,2026-09-06,active
MRS HALIMA OGUNDIPE,QUEEN OLIJE REALTY,24300000,36386330,2026-06-10,2026-09-08,active
MR OBINNA BALOGUN,HAFBAM,10400000,14651155,2026-06-12,2026-09-10,active
DR SULEIMAN NWOSU,ZIKAN,3000000,4167351,2025-12-17,2026-09-13,active
DR CHINEDU OKORIE,ARINOLA,2800000,3953467,2025-12-19,2026-09-15,active
MISS MARYAM LAWAL,HAFBAM,11000000,14178238,2026-06-19,2026-09-17,active
DR MARYAM BALOGUN,ARINOLA,2700000,3808890,2025-12-22,2026-09-18,active
AHMED OGUNDIPE,QUEEN OLIJE REALTY,3400000,5280972,2026-06-23,2026-09-21,active
DR IBRAHIM ABUBAKAR,HAFBAM,5100000,7485190,2025-09-24,2026-09-24,active
MR ADEWALE ADESANYA,ZIKAN,31200000,46065126,2026-05-31,2026-09-28,active
MR ADEBAYO EMEKWUE,HAFBAM,5900000,8641421,2026-04-04,2026-10-01,active
TEMITOPE FAGBEMI,QUEEN,27400000,34902832,2026-04-07,2026-10-04,active
DR CHUKWUEMEKA IBEKWE,QUEEN OLIJE REALTY,34502500,48457980,2026-06-09,2026-10-07,active
MR UCHENNA CHUKWU,HAFBAM,21600000,32154542,2025-10-11,2026-10-11,active
OLUMIDE OLUWOLE,QUEEN OLIJE REALTY,6200000,7787943,2025-10-14,2026-10-14,active
MRS MARYAM EZEUGWU,BANIRE ADETOUN ELIZABETH,4000000,5679173,2025-10-17,2026-10-17,active
MRS MOTUNRAYO ABUBAKAR,HAFBAM,61200000,73167960,2026-07-20,2026-10-18,active
MR GBENGA BELLO,BANIRE ADETOUN ELIZABETH,20700000,27487193,2025-10-21,2026-10-21,active
MISS FOLASADE EMEKWUE,HAFBAM,9200000,13533766,2026-06-26,2026-10-24,active
MRS UCHECHI SHOYEBO,QUEEN OLIJE REALTY,17300000,22526125,2026-06-29,2026-10-27,active
MISS BUKOLA OKAFOR,ZIKAN,29400000,36748244,2026-07-02,2026-10-30,active
MRS NGOZI SHOYEBO,SOPHIA,5600000,8109100,2025-11-02,2026-11-02,active
KUDIRAT BALOGUN,ARINOLA,2800000,4147374,2026-05-08,2026-11-04,active
DR OLAMIDE NWOSU,ARINOLA,15800000,23002259,2026-07-10,2026-11-07,active
MR SEGUN BALOGUN,MRS EROMOSELE EBERE JOY,6100000,8293570,2025-11-10,2026-11-10,active
MISS RUKAYAT AKINTOLA,ZIKAN,18200000,26939902,2026-05-17,2026-11-13,active
MRS TITILAYO OGUNLEYE,OLABISI TAIWO,6200000,8105761,2026-08-18,2026-11-16,active
UCHENNA OKAFOR,QUEEN OLIJE REALTY,23000000,34650147,2026-05-23,2026-11-19,active
OLAMIDE TIJANI,ZIKAN,13700000,20603561,2026-07-25,2026-11-22,active
MRS AISHA OLUWOLE,HAFBAM,50200000,61382721,2026-07-28,2026-11-25,active
DR OLUWASEUN OYELARAN,UNASSIGNED,4900000,6140940,2026-07-31,2026-11-28,active
MR UCHENNA OKONKWO,QUEEN OLIJE REALTY,66480000,118918516,2026-06-04,2026-12-01,active
